
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:    7e+04
 4.97383  4.74699  40000 
 4.97871  4.79518  40000 
 4.98361  4.84337  40000 
 4.98851  4.89157  40000 
 4.99343  4.93976  40000 
 4.99836  4.98795  40000 
 5  5.00401  40000 

# Contour 9, label: 
 4.242 -2  40000 
 4.24763 -1.95181  40000 
 4.25327 -1.90361  40000 
 4.25892 -1.85542  40000 
 4.26459 -1.80723  40000 
 4.27027 -1.75904  40000 
 4.27597 -1.71084  40000 
 4.28168 -1.66265  40000 
 4.2874 -1.61446  40000 
 4.29293 -1.56804  40000 
 4.29313 -1.56627  40000 
 4.29862 -1.51807  40000 
 4.30412 -1.46988  40000 
 4.30964 -1.42169  40000 
 4.31517 -1.37349  40000 
 4.32071 -1.3253  40000 
 4.32626 -1.27711  40000 
 4.33183 -1.22892  40000 
 4.33741 -1.18072  40000 
 4.34301 -1.13253  40000 
 4.34862 -1.08434  40000 
 4.35424 -1.03614  40000 
 4.35987 -0.987952  40000 
 4.36364 -0.955836  40000 
 4.36544 -0.939759  40000 
 4.37084 -0.891566  40000 
 4.37626 -0.843373  40000 
 4.38169 -0.795181  40000 
 4.38713 -0.746988  40000 
 4.39258 -0.698795  40000 
 4.39805 -0.650602  40000 
 4.40353 -0.60241  40000 
 4.40903 -0.554217  40000 
 4.41453 -0.506024  40000 
 4.42005 -0.457831  40000 
 4.42559 -0.409639  40000 
 4.43114 -0.361446  40000 
 4.43434 -0.333635  40000 
 4.43659 -0.313253  40000 
 4.44191 -0.26506  40000 
 4.44724 -0.216867  40000 
 4.45258 -0.168675  40000 
 4.45794 -0.120482  40000 
 4.4633 -0.0722892  40000 
 4.46869 -0.0240964  40000 
 4.47408  0.0240964  40000 
 4.47949  0.0722892  40000 
 4.48491  0.120482  40000 
 4.49034  0.168675  40000 
 4.49579  0.216867  40000 
 4.50125  0.26506  40000 
 4.50505  0.298564  40000 
 4.50664  0.313253  40000 
 4.51188  0.361446  40000 
 4.51712  0.409639  40000 
 4.52238  0.457831  40000 
 4.52765  0.506024  40000 
 4.53293  0.554217  40000 
 4.53822  0.60241  40000 
 4.54353  0.650602  40000 
 4.54885  0.698795  40000 
 4.55418  0.746988  40000 
 4.55953  0.795181  40000 
 4.56489  0.843373  40000 
 4.57026  0.891566  40000 
 4.57565  0.939759  40000 
 4.57576  0.940755  40000 
 4.5808  0.987952  40000 
 4.58596  1.03614  40000 
 4.59113  1.08434  40000 
 4.59631  1.13253  40000 
 4.60151  1.18072  40000 
 4.60671  1.22892  40000 
 4.61193  1.27711  40000 
 4.61717  1.3253  40000 
 4.62241  1.37349  40000 
 4.62767  1.42169  40000 
 4.63294  1.46988  40000 
 4.63823  1.51807  40000 
 4.64352  1.56627  40000 
 4.64646  1.59297  40000 
 4.64872  1.61446  40000 
 4.6538  1.66265  40000 
 4.65888  1.71084  40000 
 4.66398  1.75904  40000 
 4.66909  1.80723  40000 
 4.67421  1.85542  40000 
 4.67934  1.90361  40000 
 4.68449  1.95181  40000 
 4.68965  2  40000 
 4.69482  2.04819  40000 
 4.7  2.09639  40000 
 4.7052  2.14458  40000 
 4.71041  2.19277  40000 
 4.71563  2.24096  40000 
 4.71717  2.25518  40000 
 4.72069  2.28916  40000 
 4.72569  2.33735  40000 
 4.7307  2.38554  40000 


# Contour 10, label:  3.5e+04
 4.59211  2.38554  35000 
